name,number,status
PEP Purpose and Guidelines,1,Active
Annual Release Cycle for Python,602,Active
C API Working Group Charter,731,Active
PEP Infrastructure Process,676,Active
Backwards Compatibility Policy,387,Active
Typing governance process,729,Active
Python Documentation Translations,545,Active
The Python Documentation Editorial Board,732,Active
Python Packaging Authority (PyPA) Governance,609,Active
Style Guide for Python Code,8,Active
Python Language Governance,13,Active
Voting Guidelines,10,Active
Deprecation of Standard Modules,4,Active
Sample reStructuredText PEP Template,12,Active
Style Guide for C Code,7,Active
Programming by Contract for Python,316,Deferred
CPython platform support,11,Active
Organization of the Python community,8015,Rejected
The Commons Governance Model,8014,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
The Community Governance Model,8012,Rejected
Asynchronous IO support,3153,Superseded
The Technical Leader Governance Model,8010,Rejected
Cofunctions,3152,Rejected
The External Council Governance Model,8013,Rejected
Merging Unladen Swallow into CPython,3146,Withdrawn
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
Add a “while” clause to generator expressions,3142,Rejected
Cleaning out sys and the “interpreter” module,3139,Rejected
Introducing Roles,3133,Rejected
"str(container) should call str(item), not repr(item)",3140,Rejected
Labeled break and continue,3136,Rejected
Access to Current Module/Class/Function,3130,Rejected
BList: A Faster List-like Type,3128,Rejected
Remove Implicit String Concatenation,3126,Rejected
Remove Backslash Continuation,3125,Rejected
Delineation of the main module,3122,Rejected
A Switch/Case Statement,3103,Rejected
Procedure for reviewing and improving standard library modules,3001,Withdrawn
No More Bare Excepts,760,Withdrawn
Postfix type declarations,3117,Rejected
External Wheel Hosting,759,Withdrawn
Add PyUnicode_Export() and PyUnicode_Import() C functions,756,Withdrawn
IEEE 754 Floating Point Special Values,754,Rejected
Module ,726,Rejected
Stricter Type Guards,724,Withdrawn
Callable Modules,713,Rejected
Adding a “converter” parameter to dataclasses.field,712,Rejected
Dependency specification for single-file scripts,722,Rejected
A simplified signature for __exit__ and __aexit__,707,Rejected
Require virtual environments by default for package installers,704,Withdrawn
Reject Foolish Indentation,666,Rejected
Lazy Imports,690,Rejected
Callable Type Syntax,677,Rejected
A file format to list Python dependencies for reproducibility of an application,665,Rejected
Editable installs via virtual wheels,662,Rejected
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
Robust Stack Overflow Handling,651,Rejected
Specifying Installer Requirements for Python Projects,650,Withdrawn
Explicit Pattern Syntax for Structural Pattern Matching,642,Rejected
Using an underscore in the version portion of Python 3.10 compatibility tags,641,Rejected
Extensible customizations of the interpreter at startup,648,Rejected
Allow writing optional types as ,645,Withdrawn
Unused variable syntax,640,Rejected
Support for indexing with keyword arguments,637,Rejected
Dependency specification in pyproject.toml using an exploded TOML table,633,Rejected
Dependency specification in pyproject.toml based on PEP 508,631,Superseded
Structural Pattern Matching,622,Superseded
Hide implementation details from the C API,620,Withdrawn
A rolling feature release stream for CPython,605,Rejected
The one million limit,611,Withdrawn
Coordinated Python release,608,Rejected
Python Compatibility Version,606,Rejected
Forbid return/break/continue breaking out of finally,601,Rejected
The manylinux2014 Platform Tag,599,Superseded
Introducing incremental feature releases,598,Withdrawn
Improving bugs.python.org,595,Withdrawn
Python local packages directory,582,Rejected
The C call protocol,580,Rejected
A Concurrency Memory Model for Python,583,Withdrawn
Augmented Assignment Expressions,577,Withdrawn
Unifying function/method classes,575,Withdrawn
Rationalize Built-in function classes,576,Withdrawn
Built-in noop(),559,Rejected
Security transparency in the Python runtime,551,Withdrawn
The manylinux2010 Platform Tag,571,Superseded
Context-local variables (contextvars),555,Withdrawn
Defined semantics for locals(),558,Withdrawn
Multiple Interpreters in the Stdlib,554,Superseded
Instance Descriptors,549,Rejected
Execution Context,550,Withdrawn
More Flexible Loop Control,548,Rejected
A Unified TLS API for Python,543,Withdrawn
Final Grammar for Literal String Interpolation,536,Withdrawn
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,Rejected
Dot Notation Assignment In Function Header,542,Rejected
Existence checking operators,531,Withdrawn
Allow BlockingIOError in security sensitive APIs,522,Rejected
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Build system abstraction for pip/conda etc,516,Rejected
A Platform Tag for Portable Linux Built Distributions,513,Superseded
API for code transformers,511,Rejected
Specialize functions with guards,510,Rejected
Add a private version to dict,509,Superseded
Migrate CPython to Git and GitLab,507,Rejected
String Interpolation - Extended Discussion,502,Rejected
Using the System RNG by default,504,Withdrawn
General purpose template literal strings,501,Withdrawn
A standard mechanism for backward compatibility,497,Rejected
Environment Markers,496,Rejected
A protocol for delegating datetime methods to their tzinfo implementations,500,Rejected
Chain exceptions at C level,490,Rejected
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
Adding structured data to built-in exceptions,473,Rejected
Creating forge.python.org,474,Withdrawn
Core development workflow automation for CPython,462,Withdrawn
Support for indexing with keyword arguments,472,Rejected
Migration of dict iteration code to Python 3,469,Withdrawn
Exception-catching expressions,463,Rejected
Add binary interpolation and formatting,460,Withdrawn
Standard Metadata Extensions for Python Software Packages,459,Withdrawn
Inclusion of implicit pip bootstrap in Python installation,439,Rejected
Adding a key-transforming dictionary to collections,455,Rejected
Easier suppression of file descriptor inheritance,433,Superseded
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
Time zone support improvements,431,Superseded
Restructuring the CPython startup sequence,432,Withdrawn
Metadata for Python Software Packages 2.0,426,Withdrawn
Simpler customisation of class creation,422,Withdrawn
Add a frozendict builtin type,416,Rejected
Faster evolution of the Python Standard Library,413,Withdrawn
Use decimal.Decimal type for timestamps,410,Rejected
Provisional packages in the Python standard library,411,Superseded
Improved Encapsulation of Import State,406,Withdrawn
Standard library __preview__ package,408,Rejected
BDFL Retirement,401,April Fool!
Simplified Package Layout and Partitioning,402,Rejected
Module Version Numbers,396,Withdrawn
Qualified Names for Modules,395,Withdrawn
Static metadata for Distutils,390,Rejected
Changing the version comparison module in Distutils,386,Superseded
Adding an Assignment Expression,379,Withdrawn
Namespace Packages,382,Rejected
Mirroring infrastructure for PyPI,381,Withdrawn
Allow __enter__() methods to skip the statement body,377,Rejected
Post import hooks,369,Withdrawn
New Super,367,Superseded
Adding the pkg_resources module,365,Rejected
Transitioning to the Py3K Standard Library,364,Withdrawn
Enumerations in Python,354,Superseded
The “make” Statement,359,Withdrawn
Path - Object oriented filesystem paths,355,Rejected
Syntax For Dynamic Attribute Access,363,Rejected
Codetags,350,Rejected
The freeze protocol,351,Rejected
Allow str() to return unicode strings,349,Rejected
Exception Reorganization for Python 3.0,348,Rejected
Anonymous Block Statements,340,Rejected
Metadata for Python Software Packages 1.2,345,Superseded
Exception Chaining and Embedded Tracebacks,344,Superseded
User Defined (”,346,Withdrawn
Design of the CPython Compiler,339,Withdrawn
Overloadable Boolean Operators,335,Rejected
Make None Callable,336,Rejected
Simple Coroutines via SuspendIteration,334,Withdrawn
Byte vectors and String/Unicode Unification,332,Rejected
Python Bytecode Verification,330,Rejected
A Case for Top and Bottom Values,326,Rejected
Treating Builtins as Constants in the Standard Library,329,Rejected
Date/Time Parsing and Formatting,321,Withdrawn
Python Synchronize/Asynchronize Block,319,Rejected
Resource-Release Support for Generators,325,Rejected
Eliminate Implicit Exception Instantiation,317,Rejected
Reliable Acquisition/Release Pairs,310,Rejected
Enhanced While Loop,315,Rejected
Metadata for Python Software Packages 1.1,314,Superseded
Adding Roman Numeral Literals to Python,313,Rejected
How to Change Python’s Grammar,306,Withdrawn
Controlling Generation of Bytecode Files,304,Withdrawn
Special __main__() function in modules,299,Rejected
Extend divmod() for Multiple Divisors,303,Rejected
The Locked Buffer Interface,298,Withdrawn
Adding a bytes Object Type,296,Withdrawn
Support for System Upgrades,297,Rejected
Interpretation of multiline string constants,295,Rejected
Type Names in the types Module,294,Rejected
Backward Compatibility for the Python 2 Standard Library,291,Superseded
Generators Attributes and Exceptions,288,Withdrawn
Integer for-loops,284,Rejected
Loop Counter Iteration with range and xrange,281,Rejected
Simple Iterator for ints,276,Rejected
Prefixing sys.path by command line option,271,Rejected
Switching on Multiple Values,275,Rejected
uniq method for list objects,270,Rejected
Extended HTTP functionality and WebDAV,268,Rejected
Sorting Dictionaries by Value,265,Rejected
Optimizing Global Variable/Attribute Access,266,Withdrawn
Docstring Processing System Framework,256,Rejected
Omit printing newline after newline,259,Rejected
A Database of Installed Python Packages,262,Rejected
Docutils Design Specification,258,Rejected
Making Classes Look More Like Types,254,Rejected
Object Adaptation,246,Rejected
The ,244,Rejected
Metadata for Python Software Packages,241,Superseded
Python Interface Syntax,245,Rejected
Adding a Rational Literal to Python,240,Rejected
Module Repository Upload Mechanism,243,Withdrawn
Numeric Kinds,242,Withdrawn
Adding a Rational Type to Python,239,Rejected
__findattr__(),231,Rejected
Reworking Python’s Numeric Model,228,Withdrawn
Elementwise/Objectwise Operators,225,Rejected
Attribute Docstrings,224,Rejected
String Interpolation,215,Superseded
"Coroutines, Generators, Continuations",220,Rejected
Loop Counter Iteration,212,Rejected
Adding A New Outer Product Operator,211,Rejected
Docstring Format,216,Withdrawn
Decoupling the Interpreter Loop,210,Rejected
Multi-dimensional Arrays,209,Withdrawn
Python Advanced Library,206,Withdrawn
Range Literals,204,Rejected
Collecting information about git,103,Withdrawn
Doing Python Micro Releases,102,Superseded
Feature Requests,42,Withdrawn
Sample Plaintext PEP Template,9,Withdrawn
Statement local namespaces (aka “given” clause),3150,Deferred
Guidelines for Handling Bug Reports,3,Withdrawn
Standard daemon process library,3143,Deferred
"Overloading, Generic Functions, Interfaces, and Adaptation",3124,Deferred
Multiple Interpreters in the Stdlib,734,Deferred
Disallow using macros as l-values,674,Deferred
Generator-sensitivity for Context Variables,568,Deferred
Threaded garbage collection,556,Deferred
Rich comparison chaining,535,Deferred
Running extension modules using the -m option,547,Deferred
Improved Errors for Missing Standard Library Modules,534,Deferred
 ,499,Deferred
Deterministic cleanup for iterators,533,Deferred
A circuit breaking protocol and binary operators,532,Deferred
None-aware operators,505,Deferred
The Wheel Binary Package Format 1.9,491,Deferred
Add __getdescriptor__ method to metaclass,447,Deferred
Python Web3 Interface,444,Deferred
Naming conventions and recipes related to packaging,423,Deferred
Protecting cleanup statements from interruptions,419,Deferred
Deprecate codecs.StreamReader and codecs.StreamWriter,400,Deferred
New release cycle and introducing long-term support versions,407,Deferred
General purpose decorator clause (aka “@in” clause),403,Deferred
Standard image protocol and class,368,Deferred
Logging Usage in the Standard Library,337,Deferred
Copyable Iterators,323,Deferred
Simple Implicit Lambda,312,Deferred
Enhanced Argument Tuples,286,Deferred
Pgen Module for Python,269,Deferred
Optimized Access to Module Namespaces,267,Deferred
Optimizing access to globals,280,Deferred
Python Online Help,233,Deferred
Web Library Enhancements,222,Deferred
Python Governance Voting Process,8001,Final
Attribute Access Handlers,213,Deferred
Stackless Python,219,Deferred
Python Language Moratorium,3003,Final
Procedure for Backwards-Incompatible Changes,3002,Final
Miscellaneous Python 3.0 Plans,3100,Final
Things that will Not Change in Python 3000,3099,Final
Python 3000,3000,Final
Python 3.8 Release Schedule,569,Final
Package Index Name Retention,541,Final
Python 3.7 Release Schedule,537,Final
Using GitHub Issues for CPython,581,Final
Python 3.5 Release Schedule,478,Final
Python 3.6 Release Schedule,494,Final
Migrating from hg.python.org to GitHub,512,Final
Removing External Hosting Support on PyPI,470,Final
Removal of the PyPI Mirror Authenticity API,464,Final
Removal of the PyPI Mirror Auto Discovery and Naming Scheme,449,Final
Transitioning to release-file hosting on PyPI,438,Superseded
Python 2.8 Un-release Schedule,404,Final
Python 3.4 Release Schedule,429,Final
Python 3.2 Release Schedule,392,Final
Python 3.3 Release Schedule,398,Final
Migrating from Subversion to Mercurial,385,Final
Python 3.1 Release Schedule,375,Final
Choosing a distributed VCS for the Python project,374,Final
Python 2.7 Release Schedule,373,Final
Externally Maintained Packages,360,Final
Migrating the Python CVS to Subversion,347,Final
Python 2.6 and 3.0 Release Schedule,361,Final
Python 2.5 Release Schedule,356,Final
Python 2.4 Release Schedule,320,Final
Python 2.3 Release Schedule,283,Final
Python 2.2 Release Schedule,251,Final
Python 2.1 Release Schedule,226,Final
Python 2.0 Release Schedule,200,Final
Python 1.6 Release Schedule,160,Final
Bug Fix Releases,6,Superseded
Guidelines for Language Evolution,5,Superseded
Asynchronous IO Support Rebooted: the “asyncio” Module,3156,Final
Pickle protocol version 4,3154,Final
Qualified name for classes and functions,3155,Final
Reworking the OS and IO exception hierarchy,3151,Final
ABI version tagged .so files,3149,Final
A Type Hierarchy for Numbers,3141,Final
PYC Repository Directories,3147,Final
IP Address Manipulation Library for the Python Standard Library,3144,Final
futures - execute computations asynchronously,3148,Final
String representation in Python 3000,3138,Final
New Super,3135,Final
Exception Chaining and Embedded Tracebacks,3134,Final
Immutable Bytes and Mutable Buffer,3137,Final
Extended Iterable Unpacking,3132,Final
Class Decorators,3129,Final
Supporting Non-ASCII Identifiers,3131,Final
Integer Literal Support and Syntax,3127,Final
Introducing Abstract Base Classes,3119,Final
Making PyObject_HEAD conform to standard C,3123,Final
Extension Module Initialization and Finalization,3121,Final
Using UTF-8 as the default source encoding,3120,Final
Revising the buffer protocol,3118,Final
New I/O,3116,Final
Metaclasses in Python 3000,3115,Final
Renaming iterator.next() to iterator.__next__(),3114,Final
Removal of Tuple Parameter Unpacking,3113,Final
Bytes literals in Python 3000,3112,Final
Simple input built-in in Python 3000,3111,Final
Catching Exceptions in Python 3000,3110,Final
Raising Exceptions in Python 3000,3109,Final
Function Annotations,3107,Final
Standard Library Reorganization,3108,Final
"Revamping dict.keys(), .values() and .items()",3106,Final
Make print a function,3105,Final
Access to Names in Outer Scopes,3104,Final
Keyword-Only Arguments,3102,Final
C API to import-export Python integers,757,Final
Advanced String Formatting,3101,Final
Narrowing types with TypeIs,742,Final
Python Configuration C API,741,Final
Index support for digital attestations,740,Final
Adding Android as a supported platform,738,Final
C API to format a type fully qualified name,737,Final
Dependency Groups in pyproject.toml,735,Final
Adding iOS as a supported platform,730,Final
Inline script metadata,723,Final
Filter for tarfile.extractall,706,Final
Disabling bdist_egg distribution uploads on PyPI,715,Final
Inlined comprehensions,709,Final
Using tarfile.data_filter for source distribution extraction,721,Final
TypedDict: Read-only items,705,Final
Marking deprecations using the type system,702,Final
Additional Fields for the Simple API for Package Indexes,700,Final
Unstable C API tier,689,Final
Limited C API for Extending Opaque Types,697,Final
Override Decorator for Static Typing,698,Final
Type Defaults for Type Parameters,696,Final
Type Parameter Syntax,695,Final
Using TypedDict for more precise **kwargs typing,692,Final
Making the buffer protocol accessible in Python,688,Final
A Per-Interpreter GIL,684,Final
Format Specifier for Signed Zero,682,Final
"Immortal Objects, Using a Fixed Refcount",683,Final
Self Type,673,Final
tomllib: Support for Parsing TOML in the Standard Library,680,Final
Enriching Exceptions with Notes,678,Final
Arbitrary Literal String Type,675,Final
Data Class Transforms,681,Final
Convert macros to functions in the Python C API,670,Final
Consistent views of namespaces,667,Final
Editable installs for pyproject.toml based builds (wheel based),660,Final
Exception Groups and except*,654,Final
